年纪,工作性质,家庭收入,学位,婚姻状况,工作类型,家庭情况,族裔,性别,工作地点,标签
46,Government,24719,Master,Married,Part-time,Living with Roommates,Black,Female,Rural,0
35,Government,97092,Master,Widowed,Intern,Living Alone,Asian,Male,Rural,1
25,Unemployed,93801,Master,Single,Full-time,Living with Roommates,Asian,Female,Suburban,1
56,Self-emp,120216,Highschool,Widowed,Full-time,Living with Roommates,Hispanic,Male,Suburban,1
66,Private,169831,Highschool,Married,Intern,Living Alone,Hispanic,Female,Suburban,1
67,Unemployed,172111,Highschool,Married,Full-time,Living with Family,Hispanic,Female,Rural,1
63,Private,142056,PhD,Widowed,Intern,Living with Family,Other,Male,Urban,1
69,Self-emp,184404,Bachelor,Single,Part-time,Living with Family,White,Female,Rural,1
59,Government,90328,Highschool,Single,Intern,Living Alone,Black,Female,Suburban,1
70,Private,124977,PhD,Married,Full-time,Living with Family,Asian,Male,Suburban,1
48,Self-emp,80518,Highschool,Married,Contract,Living with Roommates,Other,Female,Suburban,1
52,Self-emp,192321,Bachelor,Widowed,Part-time,Living with Roommates,Black,Male,Suburban,1
57,Self-emp,113177,Bachelor,Married,Intern,Living Alone,Hispanic,Female,Suburban,1
22,Unemployed,111016,PhD,Married,Intern,Living with Family,Hispanic,Male,Urban,1
30,Unemployed,65049,PhD,Married,Full-time,Living Alone,Black,Female,Rural,1
44,Unemployed,112097,Master,Widowed,Part-time,Living with Roommates,White,Male,Rural,1
33,Government,120505,Master,Married,Intern,Living Alone,Other,Female,Suburban,1
46,Self-emp,98347,Bachelor,Divorced,Full-time,Living Alone,Other,Female,Rural,1
52,Unemployed,25308,Bachelor,Married,Intern,Living Alone,Other,Male,Suburban,0
63,Unemployed,27452,Bachelor,Divorced,Part-time,Living Alone,Hispanic,Male,Rural,0
21,Self-emp,34421,Master,Widowed,Intern,Living with Family,Hispanic,Male,Suburban,0
24,Government,53313,Highschool,Married,Intern,Living with Family,White,Male,Rural,1
19,Self-emp,186074,Bachelor,Married,Full-time,Living with Roommates,Black,Female,Urban,1
64,Self-emp,122532,Highschool,Single,Intern,Living with Roommates,White,Male,Urban,1
66,Self-emp,173529,Master,Widowed,Part-time,Living with Family,Hispanic,Male,Suburban,1
38,Government,184820,Highschool,Single,Intern,Living with Family,Other,Female,Suburban,1
53,Unemployed,43908,Master,Divorced,Part-time,Living with Family,Asian,Female,Rural,0
48,Self-emp,104840,Bachelor,Single,Part-time,Living Alone,Hispanic,Female,Suburban,1
37,Unemployed,142709,Highschool,Divorced,Part-time,Living Alone,White,Male,Urban,1
41,Unemployed,42749,Highschool,Single,Full-time,Living Alone,Asian,Male,Suburban,0
65,Unemployed,72685,PhD,Divorced,Part-time,Living Alone,Asian,Male,Suburban,1
32,Unemployed,65268,Highschool,Widowed,Part-time,Living with Roommates,White,Female,Suburban,1
59,Unemployed,30695,Master,Married,Contract,Living with Roommates,White,Female,Urban,0
56,Private,149002,Highschool,Widowed,Full-time,Living with Family,White,Male,Rural,1
52,Unemployed,199441,Bachelor,Widowed,Intern,Living Alone,Asian,Male,Rural,1
25,Unemployed,32830,Bachelor,Single,Part-time,Living with Roommates,Other,Female,Rural,0
57,Unemployed,51242,Bachelor,Widowed,Intern,Living with Family,Other,Female,Rural,1
36,Self-emp,65787,PhD,Married,Contract,Living with Roommates,Hispanic,Male,Suburban,1
41,Unemployed,14257,Bachelor,Widowed,Full-time,Living with Family,Black,Female,Rural,0
41,Private,106526,Bachelor,Widowed,Contract,Living with Family,Other,Male,Rural,1
30,Government,174015,Highschool,Single,Part-time,Living with Roommates,White,Female,Rural,1
53,Private,113873,Master,Married,Intern,Living Alone,Other,Male,Suburban,1
23,Government,110337,Master,Married,Contract,Living Alone,Hispanic,Female,Rural,1
24,Self-emp,139285,Bachelor,Widowed,Contract,Living with Family,Other,Female,Suburban,1
22,Unemployed,156069,Bachelor,Single,Full-time,Living with Roommates,Black,Male,Suburban,1
35,Unemployed,30599,Highschool,Widowed,Full-time,Living Alone,Other,Female,Rural,0
29,Government,47230,Bachelor,Married,Intern,Living with Family,Hispanic,Female,Urban,0
60,Self-emp,27656,Master,Single,Contract,Living with Roommates,Other,Male,Urban,0
44,Unemployed,26029,Master,Widowed,Intern,Living with Roommates,Black,Female,Rural,0
32,Unemployed,167453,Bachelor,Married,Part-time,Living with Roommates,Asian,Male,Rural,1
23,Unemployed,45328,Highschool,Divorced,Contract,Living with Family,Asian,Female,Rural,0
39,Unemployed,63982,PhD,Divorced,Contract,Living with Roommates,Asian,Female,Suburban,1
60,Self-emp,25088,Bachelor,Single,Part-time,Living with Family,Hispanic,Female,Urban,0
42,Private,21967,Highschool,Single,Contract,Living with Family,Hispanic,Male,Suburban,0
23,Unemployed,188643,Master,Widowed,Part-time,Living with Roommates,Hispanic,Female,Rural,1
19,Private,65077,Master,Married,Intern,Living with Roommates,Hispanic,Female,Suburban,1
23,Self-emp,139037,PhD,Widowed,Contract,Living with Roommates,Hispanic,Male,Rural,1
43,Self-emp,60341,Highschool,Married,Contract,Living Alone,Black,Female,Urban,1
42,Unemployed,193795,Bachelor,Widowed,Intern,Living Alone,Hispanic,Female,Rural,1
67,Unemployed,52990,Bachelor,Divorced,Contract,Living with Roommates,Asian,Female,Suburban,1
20,Unemployed,164150,PhD,Married,Part-time,Living with Roommates,Black,Female,Urban,1
23,Self-emp,20360,Bachelor,Widowed,Full-time,Living Alone,Black,Male,Suburban,0
54,Self-emp,194073,Master,Single,Contract,Living with Roommates,White,Female,Rural,1
33,Self-emp,179483,Highschool,Divorced,Full-time,Living Alone,White,Male,Urban,1
22,Private,165721,PhD,Widowed,Contract,Living Alone,Hispanic,Female,Rural,1
52,Self-emp,76371,PhD,Widowed,Contract,Living with Roommates,Black,Female,Suburban,1
65,Government,185415,PhD,Widowed,Intern,Living with Roommates,Asian,Male,Urban,1
18,Private,12989,PhD,Divorced,Contract,Living with Roommates,Other,Female,Urban,0
35,Self-emp,115354,PhD,Married,Intern,Living Alone,Other,Female,Urban,1
70,Private,159611,Highschool,Divorced,Part-time,Living Alone,White,Female,Suburban,1
55,Unemployed,39139,Master,Divorced,Full-time,Living with Roommates,White,Male,Suburban,0
44,Unemployed,155566,Bachelor,Married,Full-time,Living with Roommates,Other,Male,Urban,1
45,Self-emp,163336,Bachelor,Divorced,Intern,Living with Family,White,Male,Suburban,1
47,Self-emp,74996,Highschool,Widowed,Contract,Living Alone,Black,Male,Rural,1
46,Private,83490,PhD,Married,Part-time,Living with Roommates,Asian,Female,Urban,1
62,Self-emp,81180,PhD,Single,Full-time,Living with Roommates,Black,Female,Urban,1
66,Self-emp,92376,Bachelor,Widowed,Part-time,Living with Roommates,Black,Female,Rural,1
36,Unemployed,57667,Master,Single,Contract,Living with Roommates,Other,Female,Urban,1
67,Self-emp,120687,Highschool,Divorced,Part-time,Living with Family,Asian,Female,Rural,1
66,Self-emp,37670,PhD,Widowed,Part-time,Living Alone,Black,Female,Rural,0
27,Private,160703,PhD,Divorced,Part-time,Living with Family,Hispanic,Male,Suburban,1
35,Government,88562,Highschool,Divorced,Full-time,Living with Family,White,Male,Rural,1
26,Government,45012,Master,Divorced,Contract,Living with Roommates,Hispanic,Male,Urban,0
52,Government,124954,PhD,Married,Full-time,Living with Family,White,Male,Suburban,1
39,Government,175064,Highschool,Widowed,Intern,Living Alone,Other,Male,Urban,1
25,Self-emp,129767,PhD,Single,Part-time,Living with Roommates,Hispanic,Female,Urban,1
39,Government,65907,Master,Divorced,Full-time,Living with Roommates,Hispanic,Female,Urban,1
68,Government,48670,Bachelor,Single,Intern,Living with Family,White,Female,Urban,0
46,Private,191084,Bachelor,Divorced,Full-time,Living Alone,Hispanic,Female,Rural,1
64,Self-emp,57641,Highschool,Widowed,Part-time,Living Alone,White,Female,Urban,1
53,Private,120409,Bachelor,Married,Intern,Living with Roommates,Asian,Female,Suburban,1
23,Unemployed,151883,PhD,Divorced,Part-time,Living with Roommates,Hispanic,Female,Suburban,1
39,Private,71681,Bachelor,Widowed,Intern,Living Alone,Other,Female,Suburban,1
32,Self-emp,126504,Bachelor,Single,Full-time,Living with Roommates,White,Male,Suburban,1
47,Private,88984,Bachelor,Divorced,Intern,Living Alone,Hispanic,Male,Suburban,1
19,Government,121728,Bachelor,Widowed,Intern,Living with Roommates,Hispanic,Female,Rural,1
26,Unemployed,24156,Highschool,Divorced,Intern,Living with Roommates,Hispanic,Female,Rural,0
39,Self-emp,14602,Master,Widowed,Contract,Living with Family,Hispanic,Female,Rural,0
43,Self-emp,177470,Highschool,Widowed,Intern,Living Alone,Black,Male,Suburban,1
24,Government,156060,Bachelor,Single,Full-time,Living Alone,White,Male,Urban,1
47,Unemployed,128011,Master,Divorced,Full-time,Living Alone,Other,Male,Rural,1
18,Government,129369,Bachelor,Divorced,Part-time,Living Alone,Black,Female,Urban,1
27,Private,138351,PhD,Divorced,Full-time,Living with Family,Asian,Female,Suburban,1
64,Self-emp,128338,PhD,Widowed,Part-time,Living with Family,Black,Male,Suburban,1
46,Self-emp,21717,Master,Single,Full-time,Living Alone,White,Male,Suburban,0
42,Government,80243,PhD,Married,Contract,Living with Family,White,Male,Urban,1
44,Private,51549,Master,Married,Full-time,Living with Roommates,White,Female,Rural,1
66,Unemployed,61060,PhD,Single,Contract,Living with Family,Other,Male,Suburban,1
66,Unemployed,100398,Master,Divorced,Intern,Living with Family,Hispanic,Male,Urban,1
68,Self-emp,198363,Master,Divorced,Full-time,Living with Family,Hispanic,Female,Suburban,1
38,Self-emp,162175,PhD,Divorced,Contract,Living with Roommates,Asian,Female,Urban,1
32,Private,95817,Bachelor,Married,Full-time,Living with Roommates,Other,Male,Rural,1
28,Self-emp,180490,Highschool,Divorced,Intern,Living with Roommates,Asian,Male,Suburban,1
48,Unemployed,58767,Highschool,Married,Part-time,Living Alone,Asian,Male,Rural,1
67,Self-emp,77731,Bachelor,Widowed,Part-time,Living Alone,Hispanic,Male,Rural,1
70,Self-emp,27026,Highschool,Single,Part-time,Living with Family,White,Male,Rural,0
43,Private,177135,PhD,Widowed,Part-time,Living with Roommates,Hispanic,Male,Urban,1
39,Self-emp,171339,PhD,Married,Contract,Living with Roommates,Hispanic,Male,Urban,1
59,Unemployed,120460,Master,Widowed,Contract,Living with Family,Other,Female,Suburban,1
29,Unemployed,47228,Highschool,Single,Full-time,Living Alone,Black,Male,Rural,0
35,Government,27605,Bachelor,Divorced,Full-time,Living Alone,Asian,Male,Suburban,0
64,Private,185129,PhD,Widowed,Intern,Living with Roommates,White,Male,Urban,1
54,Government,95153,Master,Widowed,Contract,Living with Family,Hispanic,Female,Rural,1
54,Self-emp,173246,Master,Divorced,Full-time,Living with Roommates,Asian,Female,Urban,1
25,Private,186575,Highschool,Married,Part-time,Living with Roommates,Other,Female,Suburban,1
31,Private,26491,PhD,Widowed,Full-time,Living Alone,Asian,Female,Suburban,0
35,Unemployed,89960,Highschool,Divorced,Part-time,Living Alone,Hispanic,Male,Suburban,1
60,Private,130441,PhD,Divorced,Intern,Living with Family,Asian,Male,Urban,1
18,Private,161922,Bachelor,Single,Intern,Living with Family,White,Male,Rural,1
36,Private,136474,PhD,Single,Full-time,Living with Family,White,Male,Suburban,1
30,Self-emp,169886,Bachelor,Married,Contract,Living with Roommates,White,Male,Rural,1
59,Private,80634,Master,Married,Contract,Living with Roommates,Hispanic,Male,Urban,1
65,Private,160571,PhD,Single,Contract,Living with Family,White,Female,Rural,1
19,Self-emp,26445,Highschool,Widowed,Full-time,Living Alone,Hispanic,Female,Suburban,0
26,Private,98843,Master,Divorced,Contract,Living with Roommates,White,Male,Rural,1
41,Government,165400,PhD,Married,Intern,Living with Family,Hispanic,Female,Urban,1
65,Government,131103,PhD,Widowed,Full-time,Living with Family,Asian,Male,Rural,1
61,Government,71709,PhD,Single,Contract,Living with Family,Asian,Male,Suburban,1
64,Government,36833,Master,Widowed,Part-time,Living with Roommates,Black,Female,Rural,0
54,Unemployed,10192,PhD,Married,Contract,Living with Roommates,Other,Male,Urban,0
58,Private,160245,Highschool,Single,Intern,Living with Roommates,Asian,Male,Urban,1
38,Self-emp,183409,Highschool,Divorced,Intern,Living with Family,Asian,Female,Rural,1
43,Self-emp,52180,Bachelor,Widowed,Contract,Living with Roommates,Asian,Male,Suburban,1
61,Unemployed,42698,Highschool,Divorced,Part-time,Living with Family,Asian,Male,Urban,0
18,Self-emp,160695,Master,Widowed,Part-time,Living with Roommates,Asian,Male,Suburban,1
41,Private,45138,Master,Married,Intern,Living Alone,White,Male,Urban,0
33,Unemployed,197034,Highschool,Widowed,Contract,Living Alone,Other,Male,Suburban,1
60,Self-emp,136606,PhD,Widowed,Full-time,Living Alone,White,Female,Suburban,1
38,Government,70916,Master,Widowed,Intern,Living with Roommates,Black,Male,Suburban,1
68,Government,184389,Master,Divorced,Full-time,Living with Roommates,Asian,Female,Rural,1
34,Unemployed,26916,Highschool,Married,Contract,Living Alone,Hispanic,Male,Suburban,0
69,Private,163709,Bachelor,Single,Part-time,Living with Roommates,White,Female,Rural,1
19,Private,123440,Bachelor,Divorced,Contract,Living with Family,Hispanic,Female,Urban,1
62,Unemployed,129966,Master,Divorced,Full-time,Living Alone,Other,Female,Urban,1
53,Government,59818,Master,Widowed,Full-time,Living with Roommates,Asian,Male,Urban,1
69,Private,138581,Bachelor,Divorced,Part-time,Living with Roommates,Hispanic,Female,Urban,1
60,Private,144321,PhD,Single,Part-time,Living with Family,Black,Female,Suburban,1
68,Self-emp,124420,Highschool,Divorced,Intern,Living with Family,White,Male,Rural,1
49,Self-emp,34275,Highschool,Widowed,Part-time,Living with Family,Asian,Male,Suburban,0
63,Self-emp,49224,Bachelor,Single,Intern,Living Alone,Other,Male,Rural,0
64,Self-emp,67442,Master,Widowed,Intern,Living with Family,Black,Female,Urban,1
20,Self-emp,102807,Master,Married,Contract,Living with Roommates,White,Female,Rural,1
32,Self-emp,72216,PhD,Married,Contract,Living with Family,Other,Male,Urban,1
31,Government,133131,Master,Divorced,Part-time,Living with Family,Hispanic,Male,Suburban,1
30,Private,68569,Master,Single,Contract,Living with Family,Asian,Female,Suburban,1
23,Private,184061,Bachelor,Widowed,Contract,Living with Roommates,Hispanic,Male,Rural,1
58,Unemployed,80528,Bachelor,Married,Contract,Living with Family,Other,Male,Rural,1
25,Government,69450,Highschool,Divorced,Full-time,Living Alone,Other,Male,Suburban,1
55,Private,164353,Highschool,Widowed,Intern,Living with Family,White,Male,Suburban,1
67,Self-emp,113753,Master,Divorced,Part-time,Living Alone,Hispanic,Male,Suburban,1
52,Private,137186,Highschool,Widowed,Contract,Living with Family,Hispanic,Male,Suburban,1
52,Self-emp,133862,PhD,Married,Contract,Living Alone,Hispanic,Male,Rural,1
22,Government,116468,Master,Divorced,Intern,Living Alone,White,Female,Suburban,1
42,Private,157766,Highschool,Divorced,Part-time,Living with Family,Black,Male,Suburban,1
32,Unemployed,151090,PhD,Widowed,Intern,Living with Roommates,White,Male,Urban,1
28,Private,149811,PhD,Widowed,Part-time,Living with Roommates,White,Female,Urban,1
29,Government,36170,PhD,Married,Part-time,Living with Roommates,White,Male,Rural,0
55,Self-emp,123266,Highschool,Married,Part-time,Living with Roommates,Other,Female,Suburban,1
52,Unemployed,184289,Master,Single,Contract,Living with Roommates,Asian,Male,Urban,1
21,Self-emp,49055,Highschool,Divorced,Contract,Living with Family,Black,Male,Suburban,0
50,Private,181742,Highschool,Married,Contract,Living with Family,Other,Male,Rural,1
46,Unemployed,170679,Master,Single,Contract,Living with Roommates,Black,Female,Urban,1
31,Government,79950,Bachelor,Widowed,Part-time,Living Alone,Black,Male,Rural,1
31,Unemployed,36074,Highschool,Single,Part-time,Living with Roommates,White,Male,Urban,0
53,Government,15602,Master,Single,Intern,Living with Family,White,Female,Rural,0
19,Private,79366,Master,Divorced,Contract,Living with Family,Hispanic,Male,Urban,1
23,Government,43097,Highschool,Divorced,Intern,Living Alone,Other,Female,Urban,0
23,Government,175203,Bachelor,Single,Intern,Living with Roommates,Hispanic,Female,Suburban,1
47,Self-emp,22989,Bachelor,Married,Contract,Living Alone,Other,Male,Suburban,0
58,Unemployed,119077,PhD,Widowed,Intern,Living with Roommates,Black,Female,Rural,1
27,Government,38343,Master,Widowed,Full-time,Living with Family,Asian,Female,Rural,0
62,Self-emp,128754,Master,Divorced,Contract,Living with Family,Hispanic,Female,Suburban,1
42,Self-emp,19941,PhD,Single,Intern,Living with Roommates,Black,Male,Suburban,0
49,Unemployed,56365,Master,Married,Part-time,Living Alone,Black,Female,Rural,1
39,Private,125841,Highschool,Married,Full-time,Living with Roommates,Other,Male,Suburban,1
45,Unemployed,13989,Highschool,Divorced,Intern,Living with Family,Black,Female,Rural,0
25,Self-emp,132507,PhD,Divorced,Part-time,Living with Roommates,Asian,Female,Urban,1
19,Unemployed,90705,Master,Divorced,Contract,Living Alone,Asian,Male,Suburban,1
66,Private,180743,Master,Married,Contract,Living with Roommates,Asian,Male,Urban,1
34,Government,145747,Highschool,Single,Intern,Living Alone,White,Female,Urban,1
28,Unemployed,31446,Master,Widowed,Full-time,Living with Family,White,Male,Rural,0
34,Government,167181,Bachelor,Married,Part-time,Living Alone,Black,Female,Rural,1
26,Government,80132,PhD,Widowed,Contract,Living with Roommates,Black,Female,Urban,1
60,Self-emp,96337,PhD,Married,Intern,Living with Family,Hispanic,Male,Suburban,1
70,Government,118132,Master,Widowed,Intern,Living Alone,White,Female,Urban,1
53,Unemployed,99644,Master,Widowed,Part-time,Living with Roommates,Black,Female,Suburban,1
39,Private,160626,Master,Widowed,Full-time,Living with Family,Other,Male,Urban,1
48,Unemployed,110191,Master,Single,Contract,Living Alone,Hispanic,Male,Suburban,1
57,Private,173028,PhD,Divorced,Full-time,Living Alone,Other,Male,Urban,1
58,Private,64244,Bachelor,Single,Contract,Living with Family,Black,Male,Urban,1
38,Self-emp,123774,Bachelor,Single,Full-time,Living Alone,Black,Male,Rural,1
34,Self-emp,27801,Bachelor,Married,Intern,Living Alone,Other,Male,Rural,0
56,Private,12758,Master,Married,Part-time,Living with Family,Asian,Male,Rural,0
33,Government,34725,Master,Widowed,Intern,Living with Family,Hispanic,Female,Urban,0
20,Unemployed,59548,Highschool,Single,Part-time,Living Alone,Asian,Female,Suburban,1
43,Self-emp,192274,Highschool,Divorced,Full-time,Living Alone,Other,Male,Suburban,1
27,Government,107517,Bachelor,Single,Intern,Living with Family,Hispanic,Male,Suburban,1
25,Private,193244,PhD,Divorced,Contract,Living with Family,Asian,Male,Urban,1
29,Government,27592,Bachelor,Divorced,Part-time,Living with Roommates,Hispanic,Female,Urban,0
55,Unemployed,121175,Master,Widowed,Full-time,Living Alone,White,Male,Urban,1
57,Unemployed,20019,PhD,Widowed,Contract,Living with Family,White,Male,Urban,0
48,Unemployed,160991,Highschool,Divorced,Part-time,Living with Family,White,Male,Rural,1
62,Unemployed,160868,Highschool,Divorced,Contract,Living with Roommates,White,Female,Suburban,1
35,Private,170008,Bachelor,Single,Part-time,Living with Roommates,Black,Female,Urban,1
54,Self-emp,26407,Highschool,Widowed,Full-time,Living Alone,Black,Female,Urban,0
30,Self-emp,198068,PhD,Widowed,Contract,Living Alone,Other,Female,Urban,1
65,Private,78879,PhD,Married,Part-time,Living Alone,White,Female,Suburban,1
32,Government,104737,Highschool,Single,Full-time,Living with Roommates,Hispanic,Male,Urban,1
22,Government,33975,PhD,Divorced,Contract,Living Alone,White,Male,Urban,0
29,Government,186485,Master,Married,Part-time,Living Alone,Other,Female,Urban,1
37,Unemployed,113533,Master,Married,Full-time,Living Alone,Black,Male,Suburban,1
18,Unemployed,153277,Master,Widowed,Intern,Living Alone,Asian,Male,Rural,1
66,Government,187136,PhD,Married,Intern,Living with Family,Asian,Male,Rural,1
48,Self-emp,149862,Bachelor,Widowed,Intern,Living with Family,White,Female,Rural,1
66,Self-emp,157080,Bachelor,Single,Contract,Living with Roommates,Asian,Male,Rural,1
64,Unemployed,166190,PhD,Married,Contract,Living with Family,Other,Female,Rural,1
23,Private,49294,Highschool,Divorced,Contract,Living with Roommates,Other,Female,Urban,0
48,Government,50144,Highschool,Married,Intern,Living Alone,Other,Male,Urban,1
69,Self-emp,35384,Bachelor,Divorced,Part-time,Living Alone,Black,Male,Suburban,0
66,Private,107897,PhD,Divorced,Contract,Living with Family,Hispanic,Female,Suburban,1
44,Government,66845,Highschool,Widowed,Contract,Living with Roommates,Hispanic,Female,Suburban,1
19,Government,176649,Bachelor,Divorced,Intern,Living with Family,Other,Male,Urban,1
36,Government,88901,Bachelor,Single,Part-time,Living Alone,Hispanic,Male,Rural,1
67,Self-emp,20256,PhD,Single,Part-time,Living with Roommates,Asian,Male,Rural,0
27,Unemployed,68225,Bachelor,Single,Part-time,Living Alone,Other,Male,Rural,1
65,Self-emp,53367,Bachelor,Widowed,Full-time,Living with Family,Black,Male,Rural,1
47,Private,55075,Bachelor,Divorced,Intern,Living Alone,Black,Male,Urban,1
67,Unemployed,147096,Master,Divorced,Intern,Living with Roommates,Black,Male,Rural,1
60,Self-emp,48907,Master,Widowed,Full-time,Living Alone,Other,Female,Urban,0
33,Private,158515,Master,Married,Contract,Living with Family,Hispanic,Female,Rural,1
36,Self-emp,116921,Master,Widowed,Part-time,Living with Roommates,White,Male,Rural,1
39,Unemployed,40730,Bachelor,Married,Full-time,Living with Roommates,Other,Female,Urban,0
65,Unemployed,77895,Highschool,Single,Intern,Living Alone,Asian,Male,Urban,1
29,Private,194658,Highschool,Widowed,Part-time,Living with Family,White,Male,Suburban,1
36,Self-emp,80906,PhD,Widowed,Contract,Living with Roommates,Hispanic,Male,Suburban,1
24,Government,154195,Highschool,Single,Intern,Living with Family,Asian,Male,Rural,1
59,Unemployed,61507,Highschool,Widowed,Full-time,Living with Family,Asian,Female,Suburban,1
58,Unemployed,51853,Bachelor,Divorced,Contract,Living with Family,Black,Female,Rural,1
27,Private,102146,Highschool,Widowed,Intern,Living Alone,Other,Female,Urban,1
32,Private,125409,Bachelor,Widowed,Contract,Living Alone,Asian,Female,Rural,1
35,Government,41852,Bachelor,Widowed,Part-time,Living with Roommates,White,Female,Urban,0
21,Private,31877,Highschool,Married,Part-time,Living with Roommates,Other,Female,Urban,0
20,Private,15452,Bachelor,Married,Part-time,Living with Family,White,Male,Urban,0
25,Private,20750,Master,Married,Intern,Living with Roommates,Black,Male,Suburban,0
58,Private,152024,Bachelor,Single,Part-time,Living Alone,Other,Female,Suburban,1
24,Private,107461,PhD,Single,Full-time,Living Alone,Other,Female,Suburban,1
69,Unemployed,63871,Bachelor,Widowed,Part-time,Living with Roommates,Black,Male,Urban,1
36,Unemployed,23225,Bachelor,Single,Intern,Living with Family,Black,Male,Rural,0
34,Self-emp,44706,Bachelor,Widowed,Part-time,Living with Roommates,Hispanic,Male,Suburban,0
46,Government,62637,Bachelor,Married,Contract,Living with Roommates,Hispanic,Female,Urban,1
52,Private,34140,PhD,Divorced,Part-time,Living with Roommates,White,Male,Suburban,0
36,Government,164136,Bachelor,Widowed,Intern,Living with Roommates,Black,Male,Urban,1
40,Government,174122,Highschool,Married,Contract,Living with Family,Asian,Female,Urban,1
21,Government,81104,PhD,Single,Contract,Living Alone,White,Female,Suburban,1
37,Government,182729,PhD,Single,Intern,Living Alone,Asian,Male,Urban,1
32,Unemployed,63422,Highschool,Divorced,Part-time,Living Alone,Black,Male,Rural,1
43,Private,65623,Bachelor,Single,Contract,Living with Roommates,Hispanic,Female,Suburban,1
51,Private,89222,PhD,Divorced,Intern,Living Alone,Asian,Male,Suburban,1
48,Private,80929,Highschool,Widowed,Intern,Living Alone,Other,Male,Suburban,1
45,Government,91539,PhD,Widowed,Part-time,Living with Roommates,Black,Male,Urban,1
59,Unemployed,30148,Highschool,Divorced,Part-time,Living with Roommates,Hispanic,Male,Rural,0
18,Self-emp,51615,Bachelor,Single,Part-time,Living with Family,White,Male,Rural,1
54,Self-emp,176086,Highschool,Single,Contract,Living Alone,White,Male,Rural,1
68,Unemployed,130438,PhD,Married,Contract,Living Alone,Other,Female,Urban,1
54,Unemployed,162383,Master,Married,Part-time,Living with Roommates,Hispanic,Male,Urban,1
63,Private,83200,Highschool,Single,Contract,Living with Roommates,Black,Female,Rural,1
58,Government,84488,PhD,Divorced,Full-time,Living with Roommates,Black,Female,Suburban,1
27,Private,174257,PhD,Married,Part-time,Living Alone,White,Female,Urban,1
53,Unemployed,52500,PhD,Divorced,Full-time,Living Alone,Other,Female,Suburban,1
28,Private,100189,Highschool,Divorced,Intern,Living with Roommates,White,Male,Rural,1
41,Unemployed,118478,Master,Single,Full-time,Living with Roommates,Other,Male,Urban,1
30,Self-emp,172098,Master,Widowed,Contract,Living with Family,Asian,Female,Urban,1
25,Self-emp,117042,Master,Widowed,Part-time,Living Alone,Black,Female,Urban,1
23,Self-emp,49842,PhD,Married,Contract,Living Alone,Asian,Male,Urban,0
68,Unemployed,121629,Master,Divorced,Contract,Living with Family,Black,Male,Suburban,1
63,Unemployed,164546,Highschool,Widowed,Intern,Living with Family,Asian,Male,Rural,1
62,Self-emp,195744,Master,Married,Full-time,Living with Family,Black,Male,Suburban,1
41,Unemployed,34340,PhD,Divorced,Full-time,Living Alone,Other,Male,Suburban,0
33,Private,147226,Master,Single,Part-time,Living with Roommates,White,Male,Rural,1
42,Private,75668,PhD,Married,Full-time,Living with Family,White,Male,Rural,1
58,Unemployed,141931,PhD,Widowed,Part-time,Living with Family,Black,Male,Suburban,1
39,Unemployed,57210,Master,Married,Intern,Living with Roommates,Asian,Male,Urban,1
32,Self-emp,106195,Master,Widowed,Contract,Living Alone,Black,Female,Suburban,1
70,Self-emp,18075,Bachelor,Widowed,Contract,Living with Family,White,Male,Suburban,0
34,Unemployed,147453,Highschool,Married,Full-time,Living with Roommates,Black,Male,Urban,1
38,Private,198797,Master,Divorced,Contract,Living Alone,Asian,Female,Urban,1
55,Government,72714,Highschool,Married,Intern,Living Alone,Other,Male,Suburban,1
68,Unemployed,161939,Highschool,Divorced,Full-time,Living Alone,Hispanic,Female,Urban,1
66,Private,178286,PhD,Married,Contract,Living with Family,Asian,Male,Suburban,1
56,Self-emp,178179,PhD,Widowed,Full-time,Living Alone,Other,Female,Rural,1
33,Government,189037,PhD,Married,Intern,Living Alone,Asian,Female,Suburban,1
46,Unemployed,26688,Bachelor,Single,Part-time,Living with Roommates,White,Male,Suburban,0
69,Private,143259,Master,Single,Part-time,Living with Family,Hispanic,Male,Urban,1
19,Government,48365,Bachelor,Widowed,Part-time,Living with Family,Hispanic,Male,Rural,0
64,Government,14367,Bachelor,Widowed,Full-time,Living with Roommates,White,Male,Urban,0
47,Government,50072,Bachelor,Single,Intern,Living Alone,Asian,Female,Suburban,1
63,Private,89261,Bachelor,Married,Full-time,Living with Family,Black,Female,Suburban,1
55,Unemployed,40947,Highschool,Widowed,Contract,Living with Family,Asian,Female,Urban,0
20,Government,95651,Bachelor,Divorced,Intern,Living with Roommates,White,Male,Urban,1
57,Self-emp,20747,PhD,Married,Part-time,Living with Roommates,Other,Female,Urban,0
54,Private,46138,PhD,Married,Contract,Living Alone,Asian,Female,Urban,0
46,Private,197192,Master,Single,Intern,Living Alone,Other,Female,Rural,1
34,Self-emp,161727,PhD,Widowed,Part-time,Living with Family,Hispanic,Male,Suburban,1
45,Unemployed,60657,Bachelor,Married,Part-time,Living with Family,Black,Female,Urban,1
57,Self-emp,32620,PhD,Widowed,Contract,Living with Roommates,Other,Male,Suburban,0
58,Unemployed,138254,Master,Divorced,Intern,Living Alone,Other,Female,Urban,1
33,Unemployed,55605,Highschool,Married,Part-time,Living with Family,Asian,Female,Urban,1
40,Unemployed,160860,Bachelor,Single,Part-time,Living with Roommates,Other,Female,Urban,1
